nursery_name,nursery_ref
Alba Trees Ltd.,1
Christies (Fochabers) Ltd.,2
Christie-Elite Nurseries Ltd.,3
Cheviot Trees,4
Dingle Nurseries,5
J&A Growers Ltd.,6
Johnsons Of Whixley,7
Crowders Nurseries,8
Prees Heath Forest Nurseries,9
A Meldrum And Sons,10
Oakover Nurseries Ltd.,11
Coillte/Greenwood Trees,12
Woodland Improvement Ltd.,13
Maelor Forest Nurseries Ltd.,14
Carmarthen Tree Nursery,15
Dukeswood Nursery,16
C. Arnot and Son,17
Mahood Brothers Ltd.,18
Heathwood Nurseries Ltd.,19
N.E.C.F.,20
Elmcroft Tree Nurseries,21
Woodbury Estate,22
Wyevale Transplants (Forestry) Ltd.,23
Trees Please Ltd.,24
Thorpe Trees,25
Select Plants,26
Coillte Teoranta,27
None-So-Hardy (Forestry) Ltd.,28
"Newton Nursery, Forestry and Land Scotland",29
"Delamere Nursery, Forestry England",30
"Wykeham Nursery, Forestry England",31
Wyevale Nurseries Transplant Division,32
RJ Trees and Hedging Ltd,33
